objectid,id_no,binomial,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,event_year,source,basisofrec,catalog_no,dist_comm,island,tax_comm,legend,kingdom,phylum,class,order_,family,genus,category,latitude,longitude
3197344,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,15.97777750,-97.70000000
3197345,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,15.96700000,-97.73300000
3197346,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.68726700,-99.60402000
3197347,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.85000000,-99.91670000
3197348,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.24000000,-94.94100000
3197349,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.26100000,-94.36400000
3197350,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.05000000,-94.70000000
3197351,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.05305500,-93.91972000
3197352,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.08194400,-93.90667000
3197353,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.05300000,-93.92000000
3197354,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,16.08200000,-93.90700000
3197355,184047,Elops affinis,1,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit, , ,,T. Contreras McBeath 2014, , , , , ,Extant (resident),ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,ELOPIDAE,Elops,DD,17.95000000,-102.96700000
