binomial,latitude,longitude
Notropis braytoni,29.16878157,-103.6562646
Notropis braytoni,29.06055556,-105.1397222
Notropis braytoni,25.59888889,-99.305
Notropis braytoni,28.17805556,-106.4530556
Ituglanis goya,-14.89583333,-47.73611111
Ituglanis goya,-15.53055556,-48.115
Ituglanis goya,-15.27083333,-47.55166667
Ituglanis goya,-15.52083333,-48.11444444
Ituglanis goya,-14.89583333,-47.73583333
Ituglanis goya,-14.91361111,-47.60277778
Ituglanis goya,-14.89644444,-47.58288889
Ituglanis goya,-14.15136111,-47.65122222
Ituglanis goya,-14.2185,-47.92466667
Ituglanis goya,-13.94125,-47.70730556
Ituglanis goya,-13.88605556,-47.63444444
